timestamp,open,high,low,close,volume
2026-01-05 10:00:00,7.58,7.65,7.58,7.64,1107311.58150087
2026-01-05 11:00:00,7.64,7.65,7.58,7.63,4513265.65856826
2026-01-05 12:00:00,7.64,7.64,7.59,7.6,3013874.2537871
2026-01-05 13:00:00,7.6,7.6,7.45,7.51,3831583.34272182
2026-01-05 14:00:00,7.51,7.55,7.47,7.47,873286.25177218
2026-01-05 15:00:00,7.47,7.49,7.41,7.44,2957606.8433459
2026-01-05 16:00:00,7.45,7.51,7.45,7.47,1868530.63521269
2026-01-05 17:00:00,7.5,7.51,7.42,7.44,2215143.39083723
2026-01-05 18:00:00,7.44,7.44,7.38,7.39,1911441.67655477
2026-01-05 19:00:00,7.41,7.44,7.37,7.42,1059179.95011785
2026-01-05 20:00:00,7.41,7.45,7.38,7.45,2508039.35532969
2026-01-05 21:00:00,7.43,7.47,7.4,7.46,1747436.44166338
2026-01-05 22:00:00,7.47,7.47,7.42,7.42,941159.98884824
2026-01-05 23:00:00,7.45,7.56,7.4,7.56,2702925.15783037
2026-01-06 00:00:00,7.56,7.61,7.5,7.59,1077384.18320051
2026-01-06 01:00:00,7.6,7.62,7.58,7.6,772273.82173189
2026-01-06 02:00:00,7.59,7.65,7.52,7.65,2691274.41525194
2026-01-06 03:00:00,7.62,7.7,7.62,7.7,408026.02943476
2026-01-06 04:00:00,7.7,7.71,7.64,7.64,456352.5246864
2026-01-06 05:00:00,7.64,7.71,7.63,7.65,215520.17700985
2026-01-06 06:00:00,7.66,7.68,7.66,7.66,827545.73124095
2026-01-06 07:00:00,7.66,7.74,7.65,7.72,1868488.36849721
2026-01-06 08:00:00,7.71,7.71,7.67,7.68,3281909.78591574
2026-01-06 09:00:00,7.68,7.73,7.62,7.66,4800025.7470617
2026-01-06 10:00:00,7.71,7.79,7.67,7.7,4048396.16403747
2026-01-06 11:00:00,7.7,7.74,7.69,7.71,908088.38489664
2026-01-06 12:00:00,7.73,7.78,7.73,7.75,2275305.23677444
2026-01-06 13:00:00,7.75,7.75,7.75,7.75,49591.33331672
2026-01-06 14:00:00,7.74,7.74,7.67,7.68,3479929.45443365
2026-01-06 15:00:00,7.68,7.77,7.65,7.75,1926434.9137849
2026-01-06 16:00:00,7.75,7.75,7.67,7.68,3462465.48951094
2026-01-06 17:00:00,7.68,7.72,7.68,7.72,2576478.80957928
2026-01-06 18:00:00,7.71,7.76,7.69,7.75,1317390.60880393
2026-01-06 19:00:00,7.75,7.78,7.71,7.76,8936373.30288615
2026-01-06 20:00:00,7.76,7.8,7.75,7.8,2599594.4407944
2026-01-06 21:00:00,7.79,7.84,7.79,7.84,4089242.27008101
2026-01-06 22:00:00,7.83,7.88,7.82,7.86,3264945.90927254
2026-01-06 23:00:00,7.85,7.94,7.83,7.88,2374354.89987226
2026-01-07 00:00:00,7.92,7.93,7.76,7.79,4652741.52213619
2026-01-07 01:00:00,7.82,7.82,7.6,7.66,5208395.09818026
2026-01-07 02:00:00,7.65,7.71,7.53,7.53,3953444.38591852
2026-01-07 03:00:00,7.53,7.63,7.51,7.62,1176876.59044454
2026-01-07 04:00:00,7.63,7.63,7.61,7.61,147022.39586062
2026-01-07 05:00:00,7.64,7.71,7.64,7.68,719147.14965301
2026-01-07 06:00:00,7.71,7.83,7.71,7.81,1464763.51738954
2026-01-07 07:00:00,7.81,7.82,7.76,7.79,1230572.79900139
2026-01-07 08:00:00,7.81,7.87,7.81,7.84,5955895.31834739
2026-01-07 09:00:00,7.84,7.89,7.74,7.74,3942715.37201965
2026-01-07 10:00:00,7.74,7.8,7.69,7.77,2146704.84856886
2026-01-07 11:00:00,7.77,7.8,7.74,7.8,939388.97446629
2026-01-07 12:00:00,7.82,7.94,7.8,7.91,16705905.03974747
2026-01-07 13:00:00,7.93,7.96,7.83,7.89,23352738.55308811
2026-01-07 14:00:00,7.88,7.93,7.86,7.86,3539001.42022713
2026-01-07 15:00:00,7.86,7.86,7.8,7.84,4924706.54486547
2026-01-07 16:00:00,7.85,8.03,7.85,8.02,9191827.17844915
2026-01-07 17:00:00,8.03,8.06,7.93,8.01,5606757.65084037
