timestamp,open,high,low,close,volume
2026-01-06 04:00:00,47.2,47.3,47.0,47.0,1018217.33664414
2026-01-06 05:00:00,47.1,47.4,46.7,46.9,1822791.65097955
2026-01-06 06:00:00,47.0,47.0,46.8,47.0,456494.82873066
2026-01-06 07:00:00,47.0,47.4,46.8,47.3,125196.77161271
2026-01-06 08:00:00,47.4,47.4,47.1,47.3,541533.7655756
2026-01-06 09:00:00,47.3,47.4,46.7,47.3,1752158.91964507
2026-01-06 10:00:00,47.3,47.7,47.2,47.2,513440.06917084
2026-01-06 11:00:00,47.2,47.5,47.1,47.3,600814.71732597
2026-01-06 12:00:00,47.4,47.9,47.4,47.7,1002177.81978174
2026-01-06 13:00:00,47.8,48.1,47.8,48.1,1180493.68676043
2026-01-06 14:00:00,48.0,48.1,47.5,47.8,1532591.14783932
2026-01-06 15:00:00,47.6,47.9,47.2,47.7,813788.74652013
2026-01-06 16:00:00,47.7,47.7,46.8,47.0,418311.82814528
2026-01-06 17:00:00,46.9,47.2,46.8,47.0,151318.77857491
2026-01-06 18:00:00,47.0,47.3,47.0,47.3,117690.32590475
2026-01-06 19:00:00,47.2,47.5,47.1,47.4,347870.87595791
2026-01-06 20:00:00,47.4,48.0,47.4,47.8,463638.57747463
2026-01-06 21:00:00,47.8,48.2,47.8,48.2,748579.5860851
2026-01-06 22:00:00,48.2,48.3,47.9,48.0,1001545.80990676
2026-01-06 23:00:00,48.0,48.6,47.7,48.0,638518.70796151
2026-01-07 00:00:00,48.1,48.5,47.4,47.6,830536.13381968
2026-01-07 01:00:00,47.6,47.7,46.5,46.9,2186504.22983293
2026-01-07 02:00:00,46.9,47.3,46.0,46.1,578072.32025167
2026-01-07 03:00:00,46.0,46.6,45.7,46.5,1478624.69835984
2026-01-07 04:00:00,46.7,46.9,46.5,46.5,280797.67764832
2026-01-07 05:00:00,47.0,47.4,46.8,47.3,35979.7756862
2026-01-07 06:00:00,47.1,48.0,47.0,47.8,411616.69292731
2026-01-07 07:00:00,47.9,48.1,47.5,47.7,293662.90578972
2026-01-07 08:00:00,47.8,48.0,47.7,48.0,357530.95014251
2026-01-07 09:00:00,48.0,48.1,47.3,47.4,905143.03494211
2026-01-07 10:00:00,47.2,47.5,46.9,47.0,1043899.9359078
2026-01-07 11:00:00,47.0,47.5,46.9,47.5,566389.42325243
2026-01-07 12:00:00,47.5,47.6,47.4,47.5,609680.44854473
2026-01-07 13:00:00,47.5,47.6,47.2,47.2,1225804.72534521
2026-01-07 14:00:00,47.3,47.6,47.1,47.2,226861.80717696
2026-01-07 15:00:00,47.2,47.3,47.0,47.2,491227.47179542
2026-01-07 16:00:00,47.2,48.0,47.2,47.9,45384.57027052
2026-01-07 17:00:00,48.0,48.2,47.8,48.1,1050583.58964353
2026-01-07 18:00:00,48.1,48.1,47.2,47.4,774431.32212822
2026-01-07 19:00:00,47.3,47.8,47.3,47.6,240821.590169
2026-01-07 20:00:00,47.6,47.7,47.4,47.6,361155.3421389
2026-01-07 21:00:00,47.6,47.7,47.2,47.3,509969.47158033
2026-01-07 22:00:00,47.3,47.5,47.0,47.0,286408.23470864
2026-01-07 23:00:00,46.9,46.9,46.0,46.8,2857646.21055345
2026-01-08 00:00:00,46.7,46.7,45.9,46.1,1297405.19896242
2026-01-08 01:00:00,46.1,46.1,45.7,46.0,584414.57467163
2026-01-08 02:00:00,46.3,46.3,46.1,46.2,449066.34673237
2026-01-08 03:00:00,46.2,46.6,46.2,46.3,135284.90190715
2026-01-08 04:00:00,46.6,46.6,46.0,46.6,126769.98043595
2026-01-08 05:00:00,46.4,46.4,46.0,46.2,184707.44966941
2026-01-08 06:00:00,46.1,46.3,46.0,46.1,44308.20022185
2026-01-08 07:00:00,46.0,46.4,45.9,46.2,532903.29497194
2026-01-08 08:00:00,46.0,46.4,45.8,46.3,244015.33634332
2026-01-08 09:00:00,46.2,46.6,46.1,46.4,3385462.71791557
2026-01-08 10:00:00,46.4,47.1,46.4,47.1,1534169.23829424
2026-01-08 11:00:00,47.0,47.5,46.9,47.2,5431036.95302786
2026-01-08 12:00:00,47.2,48.0,47.0,47.0,2566878.20153992
2026-01-08 13:00:00,47.0,47.6,46.8,47.3,1124384.04686373
2026-01-08 14:00:00,47.5,48.6,47.4,47.4,3322352.9287053
2026-01-08 15:00:00,47.7,47.7,46.4,46.4,3894815.89729825
2026-01-08 16:00:00,46.5,47.0,46.1,46.8,2093962.10251803
2026-01-08 17:00:00,47.0,47.0,46.3,46.3,1812881.8785431
2026-01-08 18:00:00,46.4,46.6,45.8,46.0,1814657.57083663
2026-01-08 19:00:00,45.9,46.5,45.6,46.5,1518892.83343883
2026-01-08 20:00:00,46.5,46.5,45.8,45.9,741753.40282144
2026-01-08 21:00:00,46.0,46.1,45.5,45.7,725159.89194341
2026-01-08 22:00:00,45.6,45.6,45.2,45.4,597294.84505256
2026-01-08 23:00:00,45.3,45.7,45.1,45.7,728179.78768005
2026-01-09 00:00:00,45.6,46.9,45.6,46.9,1031907.72766195
2026-01-09 01:00:00,46.8,46.9,45.9,46.4,229750.65753575
2026-01-09 02:00:00,46.6,46.7,46.5,46.7,417024.35694667
2026-01-09 03:00:00,46.4,46.4,46.1,46.3,279911.18290575
2026-01-09 04:00:00,46.2,46.2,46.2,46.2,7286.48295984
2026-01-09 05:00:00,46.1,46.2,45.8,46.2,106642.97248125
2026-01-09 06:00:00,46.3,46.4,46.2,46.4,341748.65695888
2026-01-09 07:00:00,46.5,46.6,46.1,46.5,130866.71460655
2026-01-09 08:00:00,46.5,46.6,46.4,46.5,540635.5241591
2026-01-09 09:00:00,46.5,46.9,46.4,46.8,1525311.40837696
2026-01-09 10:00:00,46.8,47.0,46.3,46.4,3283682.57201896
2026-01-09 11:00:00,46.3,47.0,46.3,46.6,1531439.13379021
2026-01-09 12:00:00,46.6,47.3,46.6,47.1,1290839.836198
2026-01-09 13:00:00,46.9,47.0,46.8,47.0,538415.27751639
