timestamp,symbol,strategy,tier,regime,side,size,entry_price,exit_price,gross_pnl_pct,net_pnl_pct,fees_slippage,reason
2026-01-12 05:06:28,KRW-GMT,VOLTX_DIP,L1,FLAT,long,273802,30.0,29.5,-0.0167,-0.0181,403.7232,Hard SL
2026-01-12 05:12:30,KRW-API3,VOLTX_DIP,L1,FLAT,long,282270,701.0,690.0,-0.0157,-0.0172,416.6221,Hard SL
2026-01-12 05:19:44,KRW-AKT,VOLTX_DIP,L1,FLAT,long,300000,735.0,723.0,-0.0163,-0.0178,442.5055,Hard SL
2026-01-12 05:20:57,KRW-DEEP,VOLTX_DIP,L1,FLAT,long,265588,83.3,82.0,-0.0156,-0.0171,392.0338,Hard SL
2026-01-12 05:28:02,KRW-POL,VOLTX_DIP,L1,FLAT,long,291000,248.0,244.0,-0.0161,-0.0176,429.3165,Hard SL
